Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Vasco da Gama,6.0,0.34,5.66,5.2,0.34,4.86,0.79,0.0,0.79,6.0,0.34,5.66,1,1,0,-5.66,66.4,81.74,56.5,1.93,0.22,427,26,30,7,15.54,31.82,8.37,5,2,45,14,15,323.0,96.07,16.13,14.27,251.57,95.63,0,Vasco da Gama 1-1 Chapecoense,2026-02-05
Fluminense,2.26,1.52,0.74,2.26,1.48,0.78,0.0,0.04,-0.04,2.26,1.52,0.74,1,1,0,-0.74,57.3,53.47,48.9,0.8,0.66,262,15,13,19,16.25,28.79,10.55,6,2,11,4,13,131.1,53.69,28.67,22.14,95.77,43.3,1,Bahia 1-1 Fluminense,2026-02-05
Bahia,1.52,2.26,-0.74,1.48,2.26,-0.78,0.04,0.0,0.04,1.52,2.26,-0.74,1,1,0,0.74,42.7,46.53,49.86,0.66,0.8,212,9,19,13,28.79,16.25,16.64,2,6,21,6,12,113.1,46.31,100.8,77.86,125.4,56.7,0,Bahia 1-1 Fluminense,2026-02-05
Botafogo,1.69,3.36,-1.67,1.69,2.35,-0.66,0.0,0.25,-0.25,1.69,2.6,-0.91,3,5,-2,-0.33,56.8,49.29,43.98,0.57,0.62,205,7,9,14,15.79,22.58,10.83,0,7,10,2,16,71.0,45.84,21.0,17.26,29.04,18.05,0,Grêmio 5-3 Botafogo,2026-02-04
Grêmio,3.36,1.69,1.67,2.35,1.69,0.66,0.25,0.0,0.25,2.6,1.69,0.91,5,3,2,0.33,43.2,50.71,47.34,0.62,0.57,168,8,14,9,22.58,15.79,10.68,7,0,16,4,13,83.9,54.16,100.67,82.74,131.89,81.95,0,Grêmio 5-3 Botafogo,2026-02-04
Vitória,0.8,2.99,-2.19,0.73,2.61,-1.88,0.07,0.38,-0.31,0.8,2.99,-2.19,1,5,-4,-1.81,40.6,46.01,48.54,0.49,1.07,157,8,9,17,18.37,15.89,12.57,3,3,15,4,16,48.4,30.21,74.13,73.21,21.44,12.05,4,Palmeiras 5-1 Vitória,2026-02-04
Palmeiras,2.99,0.8,2.19,2.61,0.73,1.88,0.38,0.07,0.31,2.99,0.8,2.19,5,1,4,1.81,59.4,53.99,47.67,1.07,0.49,211,16,17,9,15.89,18.37,7.74,3,3,18,6,13,111.8,69.79,27.13,26.79,156.52,87.95,0,Palmeiras 5-1 Vitória,2026-02-04
Mirassol,1.88,1.52,0.36,1.85,0.82,1.03,0.03,0.7,-0.67,1.88,1.52,0.36,2,2,0,-0.36,62.8,52.84,46.24,0.88,0.53,206,14,8,18,9.09,33.96,7.45,2,11,22,4,9,87.1,51.42,5.53,5.52,39.47,17.92,2,Remo 2-2 Mirassol,2026-02-04
Remo,1.52,1.88,-0.36,0.82,1.85,-1.03,0.7,0.03,0.67,1.52,1.88,-0.36,2,2,0,0.36,37.2,47.16,52.14,0.53,0.88,179,10,18,8,33.96,9.09,9.64,11,2,10,4,15,82.3,48.58,94.67,94.48,180.8,82.08,6,Remo 2-2 Mirassol,2026-02-04
São Paulo,1.15,1.17,-0.02,1.15,1.04,0.11,0.0,0.13,-0.13,1.15,1.17,-0.02,1,1,0,0.02,49.0,45.39,47.51,0.92,0.38,195,19,9,12,9.78,31.58,9.0,2,3,14,4,21,91.5,48.21,38.53,41.55,75.9,41.64,1,Santos 1-1 São Paulo,2026-02-04
Santos,1.17,1.15,0.02,1.04,1.15,-0.11,0.13,0.0,0.13,1.17,1.15,0.02,1,1,0,-0.02,51.0,54.61,50.61,0.38,0.92,242,6,12,9,31.58,9.78,8.95,3,2,27,7,15,98.3,51.79,54.2,58.45,106.37,58.36,0,Santos 1-1 São Paulo,2026-02-04
Atlético Mineiro,0.51,1.26,-0.75,0.43,0.5,-0.07,0.08,0.76,-0.68,0.51,1.26,-0.75,0,1,-1,-0.25,52.0,49.11,47.07,0.34,1.1,209,8,11,19,32.35,17.27,12.4,5,8,20,12,8,74.4,37.9,52.87,41.35,51.67,25.47,1,RB Bragantino 1-0 Atlético Mineiro,2026-02-04
RB Bragantino,1.26,0.51,0.75,0.5,0.43,0.07,0.76,0.08,0.68,1.26,0.51,0.75,1,0,1,0.25,48.0,50.89,48.52,1.1,0.34,199,12,19,11,17.27,32.35,11.76,8,5,18,6,14,121.9,62.1,75.0,58.65,151.2,74.53,0,RB Bragantino 1-0 Atlético Mineiro,2026-02-04
Internacional,0.94,1.85,-0.91,0.94,0.96,-0.02,0.0,0.14,-0.14,0.94,1.09,-0.15,1,1,0,0.91,35.1,28.33,44.11,0.32,1.36,130,6,9,18,28.12,13.24,14.19,4,7,8,3,18,15.1,5.99,96.33,89.58,32.57,17.83,0,Flamengo 1-1 Internacional,2026-02-04
Flamengo,1.85,0.94,0.91,0.96,0.94,0.02,0.14,0.0,0.14,1.09,0.94,0.15,1,1,0,-0.91,64.9,71.67,54.41,1.36,0.32,404,15,18,9,13.24,28.12,5.82,7,4,34,4,20,236.8,94.01,11.2,10.42,150.13,82.17,0,Flamengo 1-1 Internacional,2026-02-04
Cruzeiro,2.0,1.38,0.62,1.56,1.38,0.18,0.44,0.0,0.44,2.0,1.38,0.62,0,4,-4,-4.62,54.3,54.1,49.75,0.92,0.36,237,18,17,10,18.48,27.78,11.17,7,4,15,7,12,116.5,63.56,46.53,46.72,93.77,52.08,0,Botafogo 4-0 Cruzeiro,2026-01-29
Botafogo,1.38,2.0,-0.62,1.38,1.56,-0.18,0.0,0.44,-0.44,1.38,2.0,-0.62,4,0,4,4.62,45.7,45.9,45.59,0.36,0.92,176,9,10,17,27.78,18.48,14.46,4,7,16,3,10,66.8,36.44,53.07,53.28,86.29,47.92,0,Botafogo 4-0 Cruzeiro,2026-01-29
Vasco da Gama,0.78,0.69,0.09,0.71,0.51,0.2,0.08,0.18,-0.1,0.78,0.69,0.09,1,2,-1,-1.09,52.2,56.54,46.48,0.51,0.45,238,10,13,14,25.49,31.11,11.52,5,6,22,5,10,128.1,65.79,58.07,47.34,134.27,76.04,0,Mirassol 2-1 Vasco da Gama,2026-01-29
Mirassol,0.69,0.78,-0.09,0.51,0.71,-0.2,0.18,0.08,0.1,0.69,0.78,-0.09,2,1,1,1.09,47.8,43.46,43.3,0.45,0.51,182,8,14,13,31.11,25.49,10.78,6,5,21,5,16,66.6,34.21,64.6,52.66,42.3,23.96,1,Mirassol 2-1 Vasco da Gama,2026-01-29
Flamengo,2.45,0.99,1.46,2.4,0.99,1.41,0.05,0.0,0.05,2.45,0.99,1.46,1,2,-1,-2.46,59.6,69.75,50.99,0.61,0.34,307,17,15,10,24.59,29.41,9.24,7,2,20,6,11,170.7,80.59,44.4,35.77,139.5,74.35,0,São Paulo 2-1 Flamengo,2026-01-28
São Paulo,0.99,2.45,-1.46,0.99,2.4,-1.41,0.0,0.05,-0.05,0.99,2.45,-1.46,2,1,1,2.46,40.4,30.25,39.2,0.34,0.61,111,5,10,15,29.41,24.59,11.58,2,7,11,2,14,41.1,19.41,79.73,64.23,48.13,25.65,0,São Paulo 2-1 Flamengo,2026-01-28
Santos,1.49,1.66,-0.17,1.11,0.53,0.58,0.38,0.37,0.01,1.49,0.9,0.59,2,4,-2,-1.83,66.6,80.64,56.94,0.79,0.16,399,18,25,8,31.65,50.0,13.45,5,3,39,14,5,289.4,93.99,18.67,16.38,233.37,84.15,0,Chapecoense 4-2 Santos,2026-01-28
Chapecoense,1.66,1.49,0.17,0.53,1.11,-0.58,0.37,0.38,-0.01,0.9,1.49,-0.59,4,2,2,1.83,33.4,19.36,42.18,0.16,0.79,103,4,8,25,50.0,31.65,23.47,3,5,6,1,10,18.5,6.01,95.33,83.62,43.97,15.85,0,Chapecoense 4-2 Santos,2026-01-28
Bahia,2.09,1.89,0.2,1.28,1.57,-0.29,0.06,0.32,-0.26,1.33,1.89,-0.56,2,1,1,0.8,43.0,43.87,49.23,0.24,0.85,192,5,11,17,45.83,20.0,11.35,2,4,12,6,14,58.0,30.04,90.73,76.42,90.13,55.52,2,Corinthians 1-2 Bahia,2026-01-28
Corinthians,1.89,2.09,-0.2,1.57,1.28,0.29,0.32,0.06,0.26,1.89,1.33,0.56,1,2,-1,-0.8,57.0,56.13,50.36,0.85,0.24,265,20,17,11,20.0,45.83,7.57,4,2,17,4,14,135.1,69.96,28.0,23.58,72.2,44.48,0,Corinthians 1-2 Bahia,2026-01-28
Grêmio,1.88,2.11,-0.23,1.74,2.03,-0.29,0.14,0.08,0.06,1.88,2.11,-0.23,1,2,-1,-0.77,48.7,55.12,49.4,0.8,0.64,244,15,12,10,15.0,15.62,13.77,3,3,20,6,13,125.6,59.61,55.27,47.73,84.63,49.25,3,Fluminense 2-1 Grêmio,2026-01-28
Fluminense,2.11,1.88,0.23,2.03,1.74,0.29,0.08,0.14,-0.06,2.11,1.88,0.23,2,1,1,0.77,51.3,44.88,50.6,0.64,0.8,280,12,10,12,15.62,15.0,10.62,3,3,8,3,13,85.1,40.39,60.53,52.27,87.2,50.75,0,Fluminense 2-1 Grêmio,2026-01-28
Remo,1.24,2.89,-1.65,1.19,2.29,-1.1,0.05,0.6,-0.55,1.24,2.89,-1.65,0,2,-2,-0.35,56.9,47.3,48.1,0.56,0.95,205,8,13,20,23.21,21.05,9.0,2,2,20,1,17,66.0,34.66,19.07,21.3,36.8,17.97,0,Vitória 2-0 Remo,2026-01-28
Vitória,2.89,1.24,1.65,2.29,1.19,1.1,0.6,0.05,0.55,2.89,1.24,1.65,2,0,2,0.35,43.1,52.7,48.65,0.95,0.56,154,13,20,13,21.05,23.21,10.67,2,2,11,4,13,124.4,65.34,70.47,78.7,168.0,82.03,0,Vitória 2-0 Remo,2026-01-28
RB Bragantino,3.19,0.41,2.78,3.1,0.41,2.69,0.09,0.0,0.09,3.19,0.41,2.78,1,0,1,-1.78,71.4,77.93,53.8,1.3,0.24,299,14,30,8,23.08,33.33,6.39,2,5,28,5,19,264.2,95.62,7.93,9.17,202.4,90.88,0,Coritiba 0-1 RB Bragantino,2026-01-28
Coritiba,0.41,3.19,-2.78,0.41,3.1,-2.69,0.0,0.09,-0.09,0.41,3.19,-2.78,0,1,-1,1.78,28.6,22.07,40.68,0.24,1.3,69,3,8,30,33.33,23.08,10.2,5,2,6,1,9,12.1,4.38,78.53,90.83,20.3,9.12,2,Coritiba 0-1 RB Bragantino,2026-01-28
Athletico Paranaense,1.4,2.75,-1.35,1.4,2.08,-0.68,0.0,0.67,-0.67,1.4,2.75,-1.35,1,0,1,2.35,29.8,25.0,46.25,0.35,1.16,116,6,6,19,17.14,16.38,16.66,3,6,7,1,11,10.7,4.61,152.07,99.13,86.53,52.46,1,Internacional 0-1 Athletico Paranaense,2026-01-28
Internacional,2.75,1.4,1.35,2.08,1.4,0.68,0.67,0.0,0.67,2.75,1.4,1.35,0,1,-1,-2.35,70.2,75.0,53.61,1.16,0.35,404,24,19,6,16.38,17.14,6.13,6,3,36,13,13,221.6,95.39,1.33,0.87,78.4,47.54,1,Internacional 0-1 Athletico Paranaense,2026-01-28
Palmeiras,2.03,0.91,1.12,1.47,0.91,0.56,0.56,0.0,0.56,2.03,0.91,1.12,2,2,0,-1.12,47.3,43.88,44.08,0.61,0.32,135,9,14,15,22.95,46.88,8.18,1,3,22,7,20,81.6,44.35,53.47,54.23,93.13,58.56,0,Atlético Mineiro 2-2 Palmeiras,2026-01-28
Atlético Mineiro,0.91,2.03,-1.12,0.91,1.47,-0.56,0.0,0.56,-0.56,0.91,2.03,-1.12,2,2,0,1.12,52.7,56.12,48.56,0.32,0.61,198,7,15,14,46.88,22.95,6.93,3,1,13,5,14,102.4,55.65,45.13,45.77,65.9,41.44,0,Atlético Mineiro 2-2 Palmeiras,2026-01-28
