Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Nacional Asunción,1.57,1.12,0.45,1.29,0.92,0.37,0.27,0.2,0.07,1.57,1.12,0.45,2,1,1,0.55,50.4,48.58,40.99,1.02,0.86,143,11,7,14,6.86,16.28,11.21,6,9,11,4,12,62.4,42.65,38.8,44.6,76.4,42.4,3,Sportivo Luqueño 1-2 Nacional Asunción,2026-01-27
Sportivo Luqueño,1.12,1.57,-0.45,0.92,1.29,-0.37,0.2,0.27,-0.07,1.12,1.57,-0.45,1,2,-1,-0.55,49.6,51.42,42.52,0.86,1.02,146,15,14,7,16.28,6.86,9.5,9,6,13,4,8,83.9,57.35,48.2,55.4,103.8,57.6,2,Sportivo Luqueño 1-2 Nacional Asunción,2026-01-27
Rubio Ñú,1.05,1.36,-0.31,0.95,1.13,-0.18,0.09,0.23,-0.14,1.05,1.36,-0.31,2,2,0,0.31,46.9,57.68,52.08,0.7,0.89,191,9,8,10,11.43,11.24,10.03,6,2,19,4,15,56.7,55.21,57.4,74.67,85.63,62.22,1,Sportivo Ameliano 2-2 Rubio Ñú,2026-01-25
Sportivo Ameliano,1.36,1.05,0.31,1.13,0.95,0.18,0.23,0.09,0.14,1.36,1.05,0.31,2,2,0,-0.31,53.1,42.32,42.85,0.89,0.7,135,8,10,8,11.24,11.43,8.12,2,6,12,3,12,46.0,44.79,19.47,25.33,52.0,37.78,1,Sportivo Ameliano 2-2 Rubio Ñú,2026-01-25
Club Guaraní,1.52,1.02,0.5,1.37,0.99,0.38,0.15,0.02,0.13,1.52,1.02,0.5,1,2,-1,-1.5,53.4,53.16,48.12,1.29,0.7,199,17,14,10,10.85,14.29,10.78,6,3,22,6,12,77.3,54.82,29.93,43.25,66.43,41.52,2,Olimpia 2-1 Club Guaraní,2026-01-25
Olimpia,1.02,1.52,-0.5,0.99,1.37,-0.38,0.02,0.15,-0.13,1.02,1.52,-0.5,2,1,1,1.5,46.6,46.84,45.14,0.7,1.29,147,13,10,14,14.29,10.85,12.07,3,6,13,4,12,63.7,45.18,39.27,56.75,93.57,58.48,0,Olimpia 2-1 Club Guaraní,2026-01-25
Libertad,1.09,0.87,0.22,0.96,0.86,0.1,0.13,0.01,0.12,1.09,0.87,0.22,1,1,0,-0.22,47.7,47.19,44.54,0.39,0.55,162,5,13,9,33.33,16.36,13.13,2,8,19,6,11,89.6,55.58,55.87,58.08,87.03,57.62,2,Cerro Porteño 1-1 Libertad,2026-01-24
Cerro Porteño,0.87,1.09,-0.22,0.86,0.96,-0.1,0.01,0.13,-0.12,0.87,1.09,-0.22,1,1,0,0.22,52.3,52.81,47.02,0.55,0.39,207,6,9,13,16.36,33.33,9.39,8,2,7,3,15,71.6,44.42,40.33,41.92,64.0,42.38,1,Cerro Porteño 1-1 Libertad,2026-01-24
Sportivo San Lorenzo,0.67,1.2,-0.53,0.61,0.97,-0.36,0.05,0.23,-0.18,0.67,1.2,-0.53,0,1,-1,-0.47,39.8,47.7,45.03,0.53,0.7,138,11,8,15,15.09,21.43,13.72,5,5,15,4,14,42.0,26.8,109.27,86.08,58.6,49.79,4,Nacional Asunción 1-0 Sportivo San Lorenzo,2026-01-24
Nacional Asunción,1.2,0.67,0.53,0.97,0.61,0.36,0.23,0.05,0.18,1.2,0.67,0.53,1,0,1,0.47,60.2,52.3,42.73,0.7,0.53,177,11,15,8,21.43,15.09,8.18,5,5,17,4,15,114.7,73.2,17.67,13.92,59.1,50.21,2,Nacional Asunción 1-0 Sportivo San Lorenzo,2026-01-24
Sportivo Luqueño,0.97,1.44,-0.47,0.97,1.44,-0.47,0.0,0.0,0.0,0.97,1.44,-0.47,2,1,1,1.47,62.3,60.61,45.99,0.4,0.67,258,8,7,10,17.5,14.93,7.0,2,1,20,4,6,89.5,64.39,38.13,24.7,73.7,36.88,1,2 de Mayo 1-2 Sportivo Luqueño,2026-01-23
2 de Mayo,1.44,0.97,0.47,1.44,0.97,0.47,0.0,0.0,0.0,1.44,0.97,0.47,1,2,-1,-1.47,37.7,39.39,38.64,0.67,0.4,102,8,10,7,14.93,17.5,16.97,1,2,6,2,16,49.5,35.61,116.27,75.3,126.13,63.12,1,2 de Mayo 1-2 Sportivo Luqueño,2026-01-23
Sportivo Trinidense,0.46,1.28,-0.82,0.46,1.22,-0.76,0.0,0.06,-0.06,0.46,1.28,-0.82,1,1,0,0.82,39.1,46.13,47.94,0.57,0.81,134,10,6,7,10.53,8.64,11.41,9,8,21,3,9,46.1,31.71,101.07,88.39,90.8,61.14,4,Recoleta 1-1 Sportivo Trinidense,2026-01-23
Recoleta,1.28,0.46,0.82,1.22,0.46,0.76,0.06,0.0,0.06,1.28,0.46,0.82,1,1,0,-0.82,60.9,53.87,46.89,0.81,0.57,220,17,7,6,8.64,10.53,7.39,8,9,23,4,12,99.3,68.29,13.27,11.61,57.7,38.86,1,Recoleta 1-1 Sportivo Trinidense,2026-01-23
